"id","n_census","season","year","season.nb","year.nb","habitat","habitat.code","age.at.capture","nb_af_pride","nb_nm_coal_hr","survival","reproduction","cubs"
"ID90",3,"wet",1986,1,2,"open woodland",2,12.25,10,2,1,0,NA
"ID180",3,"wet",1986,1,2,"open woodland",2,5.16666666666667,10,2,1,1,4
"ID181",3,"wet",1986,1,2,"open woodland",2,5,10,2,1,1,NA
"ID92",3,"wet",1986,1,2,"grassland",1,12.25,10,2,1,1,NA
"ID175",3,"wet",1986,1,2,"grassland",1,8.08333333333333,10,2,1,0,NA
"ID176",3,"wet",1986,1,2,"grassland",1,5.83333333333333,10,2,1,1,2
"ID177",3,"wet",1986,1,2,"open woodland",2,5.25,10,2,1,1,3
"ID91",3,"wet",1986,1,2,"open woodland",2,12.25,10,2,0,NA,NA
"ID264",3,"wet",1986,1,2,"grassland",1,9.66666666666667,3,2,1,1,0
"ID263",3,"wet",1986,1,2,"grassland",1,13.75,3,2,1,0,NA
"ID266",3,"wet",1986,1,2,"grassland",1,9.5,3,2,1,0,NA
"ID256",3,"wet",1986,1,2,"grassland",1,2,2,2,1,NA,NA
"ID257",3,"wet",1986,1,2,"grassland",1,2,2,2,1,NA,NA
"ID255",3,"wet",1986,1,2,"grassland",1,2.66666666666667,2,2,1,1,NA
"ID268",3,"wet",1986,1,2,"grassland",1,11.75,2,2,1,1,0
"ID474",3,"wet",1986,1,2,"open woodland",2,3.5,2,2,1,0,NA
"ID479",3,"wet",1986,1,2,"grassland",1,3.75,2,2,1,0,NA
"ID371",3,"wet",1986,1,2,"grassland",1,9.16666666666667,4,2,1,0,NA
"ID372",3,"wet",1986,1,2,"grassland",1,9.16666666666667,4,2,1,1,NA
"ID381",3,"wet",1986,1,2,"grassland",1,8.75,4,2,1,1,NA
"ID399",3,"wet",1986,1,2,"grassland",1,8.5,4,2,1,0,NA
"ID478",3,"wet",1986,1,2,"open woodland",2,6.33333333333333,10,2,1,0,NA
"ID436",3,"wet",1986,1,2,"open woodland",2,2.33333333333333,10,2,1,0,NA
"ID476",3,"wet",1986,1,2,"open woodland",2,6.5,10,2,1,0,NA
"ID429",3,"wet",1986,1,2,"open woodland",2,2.91666666666667,10,2,1,0,NA
"ID431",3,"wet",1986,1,2,"open woodland",2,2.91666666666667,10,2,1,0,NA
"ID432",3,"wet",1986,1,2,"open woodland",2,2.75,10,2,1,1,0
"ID434",3,"wet",1986,1,2,"open woodland",2,2.75,10,2,1,0,NA
"ID475",3,"wet",1986,1,2,"open woodland",2,6.5,10,2,1,1,0
"ID477",3,"wet",1986,1,2,"open woodland",2,6.33333333333333,10,2,1,1,0
"ID482",3,"wet",1986,1,2,"open woodland",2,12.4166666666667,10,2,1,1,NA
"ID575",3,"wet",1986,1,2,"grassland",1,6.41666666666667,1,2,1,0,NA
"ID650",3,"wet",1986,1,2,"grassland",1,4.83333333333333,3,2,1,1,0
"ID675",3,"wet",1986,1,2,"grassland",1,5.66666666666667,3,2,1,1,1
"ID649",3,"wet",1986,1,2,"grassland",1,4.58333333333333,3,2,1,1,1
"ID505",3,"wet",1986,1,2,"grassland",1,12.5,10,2,1,0,NA
"ID496",3,"wet",1986,1,2,"grassland",1,12.5,10,2,1,0,NA
"ID507",3,"wet",1986,1,2,"grassland",1,12.8333333333333,10,2,1,1,NA
"ID580",3,"wet",1986,1,2,"grassland",1,12.3333333333333,10,2,1,0,NA
"ID648",3,"wet",1986,1,2,"open woodland",2,12.3333333333333,10,2,1,0,NA
"ID655",3,"wet",1986,1,2,"grassland",1,2.5,10,2,0,NA,NA
"ID659",3,"wet",1986,1,2,"grassland",1,2.33333333333333,10,2,1,0,NA
"ID657",3,"wet",1986,1,2,"grassland",1,2.33333333333333,10,2,1,0,NA
"ID658",3,"wet",1986,1,2,"grassland",1,2.33333333333333,10,2,1,0,NA
"ID502",3,"wet",1986,1,2,"open woodland",2,12.8333333333333,10,2,1,0,NA
"ID503",3,"wet",1986,1,2,"grassland",1,9.25,1,2,1,0,NA
"ID695",3,"wet",1986,1,2,"grassland",1,2.83333333333333,3,2,1,1,0
"ID700",3,"wet",1986,1,2,"open woodland",2,11.6666666666667,3,2,0,NA,NA
"ID701",3,"wet",1986,1,2,"open woodland",2,11.6666666666667,3,2,0,NA,NA
"ID735",3,"wet",1986,1,2,"open woodland",2,15.8333333333333,2,2,1,0,NA
"ID702",3,"wet",1986,1,2,"open woodland",2,4.41666666666667,2,2,1,NA,NA
"ID796",3,"wet",1986,1,2,"grassland",1,11.8333333333333,7,2,1,0,NA
"ID869",3,"wet",1986,1,2,"grassland",1,3.58333333333333,7,2,1,1,0
"ID827",3,"wet",1986,1,2,"grassland",1,7.5,7,2,1,1,0
"ID867",3,"wet",1986,1,2,"grassland",1,3.83333333333333,7,2,1,0,NA
"ID870",3,"wet",1986,1,2,"grassland",1,3.41666666666667,7,2,1,0,NA
"ID794",3,"wet",1986,1,2,"grassland",1,11.8333333333333,7,2,1,0,NA
"ID795",3,"wet",1986,1,2,"grassland",1,11.8333333333333,7,2,1,1,0
"ID987",3,"wet",1986,1,2,"grassland",1,4.91666666666667,3,2,1,NA,NA
"ID981",3,"wet",1986,1,2,"grassland",1,4.91666666666667,3,2,1,0,NA
"ID992",3,"wet",1986,1,2,"grassland",1,4.91666666666667,3,2,1,1,2
"ID1017",3,"wet",1986,1,2,"grassland",1,2,7,2,1,NA,NA
"ID1019",3,"wet",1986,1,2,"grassland",1,2,7,2,1,NA,NA
"ID1065",3,"wet",1986,1,2,"grassland",1,10.5833333333333,7,2,1,1,NA
"ID959",3,"wet",1986,1,2,"grassland",1,10.75,7,2,1,1,NA
"ID1105",3,"wet",1986,1,2,"grassland",1,10.75,7,2,1,1,0
"ID1011",3,"wet",1986,1,2,"grassland",1,5.83333333333333,7,2,1,NA,NA
"ID953",3,"wet",1986,1,2,"grassland",1,10.75,7,2,1,1,0
"ID1012",3,"wet",1986,1,2,"grassland",1,3.16666666666667,2,2,1,0,NA
